"Award_Identifier","Extending_Organization","Extending_Organization_Office","Accountable_Organization","Accountable_Organization_Office","Implementing_Organization","Implementing_Organization_Type","Implementing_Organization_Country","Implementing_Organization_DUNS_Number","Award_Title","Award_Description","Award_Status","Award_Collaboration_Type","Award_Total_Estimated_Value","Award_Interagency_Transfer_Status","Award_Start_Date","Award_End_Date","Recipient_Location","Award_Transaction_Description ","Award_Transaction_Value","Award_Transaction_Type","Award_Transaction_Date","Award_Transaction_Fiscal_Year","Award_Transaction_Fiscal_Quarter","Award_Transaction_Aid_Type","Award_Transaction_Tied_Status","Award_Transaction_Flow_Type","Award_Transaction_Finance_Type","Award_Transaction_DAC_Purpose_Code","Award_Transaction_DAC_Purpose_Code_Name","Award_Transaction_US_Foreign_Assistance_Code","Award_Transaction_US_Foreign_Assistance_Category","Award_Transaction_US_Foreign_Assistance_Sector","Treasury_Account_Codes","Treasury_Account_Title","Treasury_Account_Start_Fiscal_Year","Treasury_Account_End_Fiscal_Year","Data_Submission_Date"
"AAB6FAB3","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","230.69","Disbursement","2017-01-17 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"996B5BCF","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Correction","-276.29000000000002","Commitment","2016-12-12 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"8BB79DEE","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","923.80999999999995","Disbursement","2016-11-25 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"E969F992","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","14.869999999999999","Disbursement","2017-05-22 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"1131PL17FIQ21158","Trade and Development Agency","Trade and Development Agency","Trade and Development Agency","Trade and Development Agency","Bilateral U.S. Arab Chamber of Commerce (BUSACC)","","United States","","Gas Transit and Trading Hub Reverse Trade Mission","Gas Transit and Trading Hub Reverse Trade Mission","Implementation","Bilateral","376695","Direct Appropriation","2017-08-14 00:00:00","2019-08-14 00:00:00","Turkey","Disbursement","35813.400000000001","Disbursement","2017-10-19 00:00:00","2018","1","Other technical assistance","Untied","ODA","Aid grant excluding debt reorganisation","23310","Energy generation, non-renewable sources – unspecified","5010","Economic Development","Mining and Natural Resources","11 1001","Trade and Development Agency, Funds Appropriated to the President","2017","2018","2019-02-13 00:00:00"
"0EFE2975","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","-162.97","Disbursement","2017-03-17 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"180240241037650783","U.S. Department of State","","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Crs - Usccb","International NGO","","068205541","","","Completion","Bilateral","0","","","","Turkey","Original-cooperative Agreements","26000","Disbursement","2018-01-24 00:00:00","2018","2","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","720","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance","2016","0","2018-11-02 00:00:00"
"F0970F06","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Correction","-720.76999999999998","Disbursement","2017-09-22 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"A8F2F792","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Reversal","-15.1","Commitment","2016-11-21 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"39D2943D","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","15.1","Disbursement","2017-02-13 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"277-MOD-15-MAKEREADY","U.S. Department of Agriculture","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","U.S. Government - U.S. Agency for International Development","","","","Crisis Assistance and Recovery","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","Completion","Bilateral","0","632a","2014-10-01 00:00:00","2017-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","365.5","Disbursement","2015-06-30 00:00:00","2015","3","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","52010","Food aid/Food security programmes","7001","Humanitarian Assistance","Protection, Assistance and Solutions","12 2278","Food for Peace Title II Grants, Foreign Agricultural Service, Agriculture","2015","0","2015-06-30 00:00:00"
"21947E91","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","4676","Disbursement","2017-05-15 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"AB6F47EB","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","4568.8000000000002","Disbursement","2016-11-25 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"14R312","U.S. Department of State","State Department","Department of Justice","Drug Enforcement Administration","Drug Enforcement Administration","Government","United States","878881879","IN23C104 International Narcotics and Law Enforcement/ Europe and Asia Programs","Training program for the Central Asian Republics in cooperation with the Turkish Academy Against Drugs and Organized Crime (TADOC).","Implementation","Multilateral","492822","632b","2014-04-30 00:00:00","2016-04-29 00:00:00","Turkey","COMMITMENT","-12144.639999999999","Commitment","2015-09-22 00:00:00","2015","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","16063","Narcotics control","1004","Peace and Security","Counter-Narcotics","11 1022","International Narcotics Control and Law Enforcement, International Security Assistance, State","2013","2014","2015-12-31 00:00:00"
"0F60873D","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","923.80999999999995","Disbursement","2016-12-27 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"277-MOD-4P3100100","U.S. Department of Agriculture","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","U.S. Government - U.S. Agency for International Development","","","","Crisis Assistance and Recovery","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","Completion","Bilateral","0","632a","2013-10-01 00:00:00","2015-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","62000","Disbursement","2014-09-30 00:00:00","2014","4","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","52010","Food aid/Food security programmes","7001","Humanitarian Assistance","Protection, Assistance and Solutions","12 2278","Food for Peace Title II Grants, Foreign Agricultural Service, Agriculture","2014","0","2014-09-30 00:00:00"
"2D0AFEBE","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","252.47999999999999","Disbursement","2017-09-01 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"29B08E5B","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","5517.6000000000004","Disbursement","2017-06-28 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"D1BD837F","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","45.689999999999998","Disbursement","2017-01-17 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"634CCC39","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","147.13999999999999","Disbursement","2017-09-27 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"BA27D4FB","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","151.44","Disbursement","2017-07-31 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"15R038","Department of Defense","HQ U.S. European Command","Department of Justice","Drug Enforcement Administration","Drug Enforcement Administration","Government","United States","878881879","HQ USEUCOM CNT funds are provided to DEA for various training events within the USEUCOM AOR.","Jandarma Beta course, counternarcotics training, Turkey.","Implementation","Multilateral","718863","Economy Act","2015-07-14 00:00:00","2015-09-30 00:00:00","Turkey","COMMITMENT","-168","Commitment","2015-08-27 00:00:00","2015","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","16063","Narcotics control","1004","Peace and Security","Counter-Narcotics","11 1022","International Narcotics Control and Law Enforcement, International Security Assistance, State","2015","2015","2015-12-31 00:00:00"
"STU15017F3042","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Reversal","-3.4100000000000001","Commitment","2017-09-08 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"9873DB00","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","57.670000000000002","Disbursement","2017-01-23 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"277-S-282-OBO-75","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Enterprise - Non United States Unknown","","","123456787","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Implementation","Bilateral","0","Direct Appropriation","2014-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","11007.51","Disbursement","2018-03-31 00:00:00","2018","2","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2018-03-31 00:00:00"
"BFFB88CE","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","273.14999999999998","Disbursement","2016-12-19 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"1731912999992017001170323","U.S. Department of State","","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Care Usa","International NGO","","001793082","","Near East Refugee Program","Completion","Bilateral","0","","","","Turkey","Original-cooperative Agreements","21336.610000000001","Disbursement","2017-11-15 00:00:00","2018","1","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","720","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance","0","0","2018-11-02 00:00:00"
"277-MOD-82100701-OFDA","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Unspecified Vendors - Bosnia and Herzegovina","","","","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Implementation","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","1924.22","Disbursement","2018-03-31 00:00:00","2018","2","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2018-03-31 00:00:00"
"223AC6CD8BA2","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Personal Services Contractors - USAID","","","790238638","Staff Travel Costs","This award is for a staff travel costs of the U.S. Agency for International Development.","Completion","Bilateral","0","Direct Appropriation","2017-10-01 00:00:00","2018-09-30 00:00:00","Turkey","This award is for a staff travel costs of the U.S. Agency for International Development.","251.09999999999999","Disbursement","2018-09-30 00:00:00","2018","4","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster and Famine Assistance","0","0","2018-09-30 00:00:00"
"735EF9E2","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","211","Disbursement","2017-01-11 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"21A46B1CCB30","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Vendor implementing direct administrative services","","","","Administration and Oversight","This award is for a direct administrative costs or operating expenses of the U.S. Agency for International Development.","Completion","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2017-09-30 00:00:00","Turkey","This award is for a direct administrative costs or operating expenses of the U.S. Agency for International Development.","25596.5","Commitment","2017-03-31 00:00:00","2017","2","Administrative costs not included elsewhere","Tied","ODA","Aid grant excluding debt reorganisation","43010","Multisector aid","4005","Education and Social Services","Social Assistance","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","0","0","2017-03-31 00:00:00"
"22B23346","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Reversal","-15.1","Commitment","2017-07-24 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"36D4D357","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","9.3000000000000007","Disbursement","2017-03-31 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"02AE0FE9","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Correction","-272.24000000000001","Disbursement","2017-04-10 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"2ECBCD49","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Correction","-17.329999999999998","Disbursement","2017-01-17 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"456C7735","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","289.01999999999998","Disbursement","2016-11-14 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"F12C15B9","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","14.699999999999999","Disbursement","2017-09-19 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"08F411AF9D2E","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Vendor implementing direct administrative services","","","","Administration and Oversight","This award is for a direct administrative costs or operating expenses of the U.S. Agency for International Development.","Implementation","Bilateral","0","Direct Appropriation","2017-10-01 00:00:00","2018-09-30 00:00:00","Turkey","This award is for a direct administrative costs or operating expenses of the U.S. Agency for International Development.","10288.74","Commitment","2018-03-31 00:00:00","2018","2","Administrative costs not included elsewhere","Tied","ODA","Aid grant excluding debt reorganisation","91010","Administrative costs","8001","Program Management","Direct Administrative Costs","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","0","0","2018-03-31 00:00:00"
"1687O0425A","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","U.S. Government - U.S. Agency for International Development","","","790238638","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Implementation","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","256.32999999999998","Disbursement","2018-06-30 00:00:00","2018","3","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2018-06-30 00:00:00"
"173DEF9F","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","25","Disbursement","2017-05-30 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"9368324F","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","-1650.5999999999999","Disbursement","2017-03-17 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"01E2F2CB","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","4568.8000000000002","Disbursement","2016-12-19 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"X489.4F6018","U.S. Department of State","Bureau of Counterterrorism","Department of Justice","Criminal Division","Department of Justice - Criminal Division - Overseas Prosecutorial Development Assistance and Training (OPDAT)","Government","United States","138426940","Counterterror Financing Turkey Resident Legal Advisor","Administrative and programmatic support for international law enforcement training and prosecutorial assistance training activities","Implementation","Bilateral","918099.1568","632b","2014-09-22 00:00:00","2017-09-30 00:00:00","Turkey","Fiscal Year 2017 YTD total disbursements in support of international training program activities","93238","Disbursement","2017-06-30 00:00:00","2017","3","Project-type interventions","Partially tied","ODA","Aid grant excluding debt reorganisation","43010","Multisector aid","9000","Multi-sector","Multi-sector - Unspecified","11 1022","International Narcotics Control and Law Enforcement, International Security Assistance, State","2013","2014","2017-08-04 00:00:00"
"277-MOD-82330100-FFP","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Unspecified Vendors - Bosnia and Herzegovina","","","","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Completion","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","113.75","Disbursement","2018-09-30 00:00:00","2018","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","0","0","2018-09-30 00:00:00"
